Název jízdenky,Dospělí,Děti,Junioři,Senioři,Všechny,Je header,Poznámka
Bodové jízdenky,,,,,,ANO,
40 bodů,,,,,440,NE,
100 bodů,,,,,750,NE,
300 bodů,,,,,2000,NE,
Lyžařský kurz (300 bodů),,,,,1600,NE,
Spotřeba bodů na jednotlivých vlecích,,,,,,ANO,
Lanová dráha Kohútka,,,,,10 bodů,NE,
Runda,,,,,6 bodů,NE,
Malá Kohútka,,,,,5 bodů,NE,
Barborka,,,,,4 body,NE,
Spartak,,,,,5 bodů,NE,
Seník,,,,,6 bodů,NE,
