Název jízdenky,Dospělí,Děti,Junioři,Senioři,Všechny,Je header,Poznámka
3 hodinová,710,270,590,590,,NE,
4 hodinová,790,300,640,640,,NE,
Večerní lyžování (19:00-21:00),300,150,200,200,,NE,
Odpolední lyžování (13:30-16:00),500,180,400,400,,NE,
