Název jízdenky,Dospělí,Děti,Junioři,Senioři,Všechny,Je header,Poznámka
Lyžařské kurzy (4-5 dní),1850,1850,1850,—,,NE,
Lyžařské kurzy (5 dní),1950,300,1950,—,,NE,
Skialp,200,100,150,150,,NE,
Dětský lyžařský park (8:30-16:00),200,200,200,200,,NE,
