Text
Slevy se nesčítají
Děti do 11 let obdrží sníženou dětskou sazbu (kromě bodových jízdenek)
Junioři 11-17 let obdrží juniorskou sazbu (kromě bodových jízdenek)
Senioři 65+ obdrží sníženou sazbu (kromě bodových jízdenek)
Studentské slevy dostupné pouze při online nákupu
Držitelé průkazů TP/ZTP/ZTP/P obdrží slevy pouze na časové jízdenky
Skupinová sleva: při nákupu 15+ stejných jízdenek jeden kus stejného typu zdarma
Speciální kurzovní ceny: 4-5 dní 1 300 Kč; 5 dní 1 400 Kč (platné 23.12.-17.3.)
